lam_nm,A_active
3.729273661041819423e+02,8.349091335234078981e-01
3.716548866682915104e+02,8.302475566426258391e-01
3.703910614525139522e+02,8.257321410196912792e-01
3.691358024691357400e+02,8.211874285787922334e-01
3.678890229191796948e+02,8.162984279120100162e-01
3.666506371723972393e+02,8.110312194334015068e-01
3.654205607476635009e+02,8.057116217992773555e-01
3.641987102937663963e+02,8.006591585987469228e-01
3.629850035705784421e+02,7.958265180803171246e-01
3.617793594306050409e+02,7.908932313869221353e-01
3.605816978008985529e+02,7.857017933173654489e-01
3.593919396653311082e+02,7.804962761261424742e-01
3.582100070472163793e+02,7.756625074785802321e-01
3.570358229922734381e+02,7.712859797232530790e-01
3.558693115519253070e+02,7.670753891153032633e-01
3.547103977669225969e+02,7.627522229232304163e-01
3.535590076512868336e+02,7.584276402568569386e-01
3.524150681765657396e+02,7.544962113438135054e-01
3.512785072563925155e+02,7.511705034283603366e-01
3.501492537313433218e+02,7.482302700799734474e-01
3.490272373540855710e+02,7.453028293759854650e-01
3.479123887748117454e+02,7.423352052177122351e-01
3.468046395269502113e+02,7.396732422912598581e-01
3.457039220131489401e+02,7.376410300221313276e-01
3.446101694915254257e+02,7.361342622911604128e-01
3.435233160621762067e+02,7.347346501749557612e-01
3.424432966539411609e+02,7.332147040797191151e-01
3.413700470114170571e+02,7.318132529220686688e-01
3.403035036822137727e+02,7.309330979345356472e-01
3.392436040044494234e+02,7.306229724201888098e-01
3.381902860944776990e+02,7.304831268134532873e-01
3.371434888348441063e+02,7.301230543539716233e-01
3.361031518624641876e+02,7.296168102375436559e-01
3.350692155570204704e+02,7.293898445010634779e-01
3.340416210295728092e+02,7.296622111792372412e-01
3.330203101113780235e+02,7.301271675820106832e-01
3.320052253429131497e+02,7.302709854689943825e-01
3.309963099630996339e+02,7.299561128886875583e-01
3.299935078987231805e+02,7.295526719118329284e-01
3.289967637540453325e+02,7.294420626104572980e-01
3.280060228006022385e+02,7.294885969526556657e-01
3.270212309671885009e+02,7.291323862261173128e-01
3.260423348300192288e+02,7.280083430558240698e-01
3.250692816030697259e+02,7.263434807456007336e-01
3.241020191285866190e+02,7.246358298223980476e-01
3.231404958677686068e+02,7.229894179994056369e-01
3.221846608916121113e+02,7.209151947299853314e-01
3.212344638719191039e+02,7.178587171910337794e-01
3.202898550724637516e+02,7.138290263847696382e-01
3.193507853403141326e+02,7.093596579918359790e-01
3.184172060973063481e+02,7.048299948635362577e-01
3.174890693316676789e+02,6.999613863691738214e-01
3.165663275897861695e+02,6.941125286766786084e-01
3.156489339681225488e+02,6.870373021965886506e-01
3.147368421052631788e+02,6.791914793713916820e-01
3.138300061741099398e+02,6.711998042489808469e-01
3.129283808742047768e+02,6.631106186697284244e-01
3.120319214241866348e+02,6.543430507138939811e-01
3.111405835543766898e+02,6.444113779728559699e-01
3.102543234994913064e+02,6.335641409148721204e-01
3.093730979914790282e+02,6.225548982372259843e-01
3.084968642524782467e+02,6.117988523338876439e-01
3.076255799878958896e+02,6.009257307661519665e-01
3.067592033796016722e+02,5.892842893371811330e-01
3.058976930792376834e+02,5.768091277624590729e-01
3.050410082016402953e+02,5.642025547459988966e-01
3.041891083183722344e+02,5.521899668821933505e-01
3.033419534513626559e+02,5.407296232613861831e-01
3.024995040666534010e+02,5.291380360639972302e-01
3.016617210682492782e+02,5.170035448058130090e-01
3.008285657920694689e+02,5.047964186800487640e-01
3.000000000000000000e+02,4.934222978673922233e-01
